title,date,full_text,link
"Keysight, FormFactor, DMPI to Deliver 170/220 GHz Broadband VNA Solution","May 24, 2022","Keysight Technologies, Inc., FormFactor, Inc., DMPI Inc. and Virginia Diodes, Inc. (VDI) have joined forces to deliver a new 170/220 GHz Broadband Vector Network Analysis (VNA) solution that shortens design and verification cycles for 5G and emerging 6G applications.  ",https://www.microwavejournal.com/articles/38210-keysight-formfactor-dmpi-to-deliver-new-170-220-ghz-broadband-vector-network-analysis-solution
5G Evolution - on the Path to 6G,"May 16, 2022","5G is now and what’s next? As a new generation of cellular technology typically appears every 8-10 years, 6G can be expected around 2030. Download this white paper to explore the evolution from 5G to 6G from a service, air interface and network perspective.",https://www.microwavejournal.com/articles/38157-5g-evolution-on-the-path-to-6g
"Sub-THz Programmable Tuners Cover WR6, WR5 and WR3 Bands","May 13, 2022",N/A,https://www.microwavejournal.com/articles/38133-sub-thz-programmable-tuners-cover-wr6-wr5-and-wr3-bands
126–182 GHz UWB Radar Enables Spectral Characterization for Scientific and Industrial Applications,"May 13, 2022",N/A,https://www.microwavejournal.com/articles/38128-182-ghz-uwb-radar-enables-spectral-characterization-for-scientific-and-industrial-applications
THz – To Be or Not To Be in 6G?,"May 13, 2022","Researchers require a flexible and scalable test bed to gain insight into the performance of their evolving 6G designs. Keysight has developed a test bed for the D- (110 to 170 GHz) and G-Bands (140 to 220 GHz) to measure error vector magnitude (EVM). 
",https://www.microwavejournal.com/articles/38119-thz-to-be-or-not-to-be-in-6g
A Sub-THz Test Bed to Evaluate Potential 6G Waveforms,"May 13, 2022","Samsung Electronics released a white paper that lays out the company’s vision for securing global frequency bands for 6G,  titled “6G Spectrum: Expanding the Frontier.”
",https://www.microwavejournal.com/articles/38046-a-sub-thz-test-bed-to-evaluate-potential-6g-waveforms
Samsung Unveils 6G Spectrum White Paper and 6G Research Findings,"May 11, 2022","Keysight Technologies, Inc. has been granted the first Federal Communications Commission (FCC) Spectrum Horizons Experimental license for developing 6G technology in sub-Terahertz (THz) frequency bands, between 95 GHz and 3 THz. ",https://www.microwavejournal.com/articles/38126-samsung-unveils-6g-spectrum-white-paper-and-6g-research-findings
Keysight Technologies First to Receive FCC Spectrum Horizons License for Developing 6G Technology in Sub-THz,"March 8, 2022",The two companies will work together to develop test and verification technologies for 6G wireless systems.,https://www.microwavejournal.com/articles/37795-keysight-technologies-first-to-receive-fcc-spectrum-horizons-license-for-developing-6g-technology-in-sub-thz
Keysight and Samsung Sign MoU to Advance Research and Development of 6G Technology,"February 15, 2022","Keysight Technologies, Inc. helped LG Electronics to demonstrate a 6G radio frequency front-end (RFFE) module at the 2021 Korea Science and Technology Exhibition held in Ilsan, Korea, December 22-24, 2021. ",https://www.microwavejournal.com/articles/37631-keysight-and-samsung-sign-mou-to-advance-research-and-development-of-6g-technology
Keysight Helps LG Electronics to Demonstrate 6G RFFE Module at Korea Science and Technology Exhibition,"February 7, 2022","ATIS’ Next G Alliance announced publication of the Roadmap to 6G, presenting the first 6G vision for North America and major steps that industry, government and academia should take.",https://www.microwavejournal.com/articles/37563-keysight-helps-lg-electronics-to-demonstrate-6g-rffe-module-at-korea-science-and-technology-exhibition
ATIS’ Next G Alliance Roadmap to 6G Positions North America at the Forefront of Wireless Technology Development,"February 3, 2022",ATIS’ Next G Alliance published a white paper showing how the ICT industry can contribute to reducing overall energy consumption and achieving environmental sustainability objectives while accelerating progress toward 6G.,https://www.microwavejournal.com/articles/37553-atis-next-g-alliance-roadmap-to-6g-positions-north-america-at-the-forefront-of-wireless-technology-development
ATIS’ Next G Alliance Maps the Path to Sustainable 6G,"January 6, 2022",The newly created Joint Undertaking on Smart Networks and Services towards 6G (SNS JU) adopted its first Work Programme 2021-2022 with an earmarked public funding of about €240 million.,https://www.microwavejournal.com/articles/37408-atis-next-g-alliance-maps-the-path-to-sustainable-6g
Europe Launches First Large-Scale 6G Research and Innovation Programme,"December 20, 2021",University of Oulu's 6G Flagship research programme has published a new issue of its 6G Waves magazine. ,https://www.microwavejournal.com/articles/37348-europe-launches-first-large-scale-6g-research-and-innovation-programme
New 6G Waves Magazine Highlights 6G Demos and Sustainable Future,"December 20, 2021",N/A,https://www.microwavejournal.com/articles/37347-new-6g-waves-magazine-highlights-6g-demos-and-sustainable-future
